Country,Gender,population,Income,incomepc,Age,Education,pc,Videogames,Piano,Teamsport,gym,Restaurant,Charity,Ecommerce,Information,taste,segments
FR,0,30000,34995.00000000001,34995.00000000001,57,Bac+2/Bac+3,1,0,0,0,0,0,0,1,"Oui, partiellement",5,2
FR,0,7500,34995.00000000001,34995.00000000001,74,Bac,1,0,0,0,0,1,0,1,"Oui, partiellement",5,2
UK,1,1000000,34995.00000000001,11665.000000000002,22,Bac+5,3,0,0,0,1,1,0,1,"Oui, tout à fait",20,0
FR,1,30000,10000.0,10000.0,70,Collège,1,0,0,0,0,1,0,1,"Oui, tout à fait",0,2
FR,1,30000,10000.0,5000.0,29,Bac,2,1,0,0,0,0,0,1,"Oui, partiellement",0,3
FR,1,1000,44999.5,11249.875,44,Bac+2/Bac+3,4,0,0,0,0,1,0,1,"Oui, tout à fait",0,3
FR,1,75000,10000.0,10000.0,20,Bac+2/Bac+3,1,1,0,0,0,1,0,0,"Oui, partiellement",5,3
FR,1,30000,10000.0,10000.0,69,Bac,1,0,0,0,0,1,0,1,"Oui, partiellement",5,2
UK,0,3500,74999.5,18749.875,35,Bac+5,4,0,0,0,1,1,0,1,"Oui, tout à fait",10,3
UK,0,30000,10000.0,10000.0,55,Bac,1,0,0,0,0,1,0,0,"Oui, partiellement",0,2
DE,1,750000,44999.5,22499.75,41,Bac,2,1,0,0,0,1,0,1,"Oui, partiellement",10,0
UK,1,75000,24999.5,8333.166666666666,57,Bac,3,0,0,0,0,1,0,1,"Oui, partiellement",10,2
DE,1,3500,64999.5,32499.75,81,Bac+2/Bac+3,2,0,0,0,0,1,0,1,"Oui, partiellement",0,1
DE,1,1000,10000.0,10000.0,66,Bac,1,1,0,0,0,0,0,1,"Oui, partiellement",0,2
DE,0,30000,44999.5,11249.875,46,Collège,4,1,0,1,0,1,0,1,"Oui, tout à fait",10,3
UK,1,1000,24999.5,12499.75,37,Bac,2,1,0,0,0,1,0,1,"Oui, tout à fait",5,3
FR,1,3500,74999.5,37499.75,78,Bac+5,2,1,0,0,0,1,0,1,"Oui, partiellement",10,1
UK,0,1000000,44999.5,8999.9,41,Bac+2/Bac+3,5,1,0,1,1,1,0,1,"Oui, partiellement",0,0
DE,0,1000,74999.5,37499.75,62,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, tout à fait",5,1
DE,0,7500,34995.00000000001,11665.000000000002,28,Bac+5,3,0,0,0,0,0,0,1,"Oui, partiellement",5,3
DE,0,1000,44999.5,14999.833333333334,49,Bac+5,3,1,0,1,1,1,0,1,"Oui, partiellement",0,3
DE,1,7500,24999.5,8333.166666666666,43,Bac+5,3,1,0,0,0,1,0,1,"Oui, tout à fait",10,3
UK,0,75000,10000.0,5000.0,60,Bac,2,0,0,0,0,1,0,0,"Oui, tout à fait",0,2
DE,1,30000,34995.00000000001,34995.00000000001,53,Collège,1,0,0,0,0,0,0,1,"Oui, partiellement",10,1
UK,0,75000,10000.0,2500.0,54,Bac,4,1,0,0,0,1,0,1,"Oui, partiellement",10,3
DE,1,750000,44999.5,22499.75,50,Bac,2,1,0,1,0,1,0,1,"Oui, partiellement",5,0
ES,0,30000,10000.0,5000.0,72,Bac+2/Bac+3,2,0,0,0,1,1,0,1,"Oui, partiellement",0,2
ES,0,30000,24999.5,6249.875,39,Bac+2/Bac+3,4,1,0,0,1,1,0,1,"Oui, partiellement",0,3
ES,0,30000,24999.5,8333.166666666666,32,Bac+5,3,1,0,0,1,0,0,1,"Oui, partiellement",20,3
UK,0,7500,24999.5,24999.5,72,Bac,1,0,0,0,0,0,0,1,"Oui, tout à fait",0,2
ES,0,30000,34995.00000000001,8748.750000000002,24,Bac,4,1,0,0,0,1,0,1,"Oui, tout à fait",10,3
DE,0,30000,74999.5,14999.9,39,Bac,5,1,0,1,0,1,0,1,"Oui, tout à fait",5,3
ES,1,1000000,34995.00000000001,8748.750000000002,47,Bac+2/Bac+3,4,1,0,0,0,1,0,1,"Oui, partiellement",5,0
UK,0,1000,44999.5,22499.75,81,Bac+5,2,0,0,0,0,0,0,1,"Oui, partiellement",20,2
ES,1,30000,74999.5,24999.833333333332,27,Bac+2/Bac+3,3,1,0,0,0,1,1,1,"Oui, tout à fait",10,3
UK,1,30000,74999.5,18749.875,48,Bac,4,1,0,1,1,1,0,1,"Oui, tout à fait",5,3
FR,0,1000000,74999.5,18749.875,36,Bac+5,4,1,0,0,1,1,0,1,"Oui, tout à fait",5,0
ES,1,30000,54999.5,13749.875,50,Bac+2/Bac+3,4,1,0,0,0,1,0,1,"Oui, partiellement",0,3
ES,0,75000,24999.5,8333.166666666666,31,Bac,3,1,0,0,1,1,0,1,"Oui, tout à fait",5,3
FR,1,1000000,84999.5,21249.875,41,Bac+5,4,1,0,1,0,1,0,1,"Oui, partiellement",10,0
DE,1,30000,10000.0,5000.0,68,Bac,2,0,0,1,1,1,0,1,"Oui, tout à fait",5,2
DE,1,75000,74999.5,37499.75,55,Bac+2/Bac+3,2,0,0,0,0,1,0,1,"Oui, partiellement",0,1
UK,1,30000,10000.0,5000.0,53,Doctorat,2,0,0,0,0,1,0,1,"Oui, partiellement",10,2
ES,0,7500,10000.0,5000.0,61,Bac+2/Bac+3,2,0,0,0,1,1,0,1,"Oui, partiellement",0,2
UK,0,1000,10000.0,10000.0,54,Bac,1,0,0,0,0,1,0,1,"Oui, tout à fait",0,2
ES,0,30000,24999.5,8333.166666666666,45,Bac,3,0,0,1,1,1,0,1,"Non, pas du tout",5,3
UK,0,1000000,10000.0,10000.0,60,Bac,1,0,0,0,0,0,0,1,"Oui, partiellement",0,0
UK,0,30000,24999.5,8333.166666666666,48,Bac,3,1,0,0,0,0,0,1,"Oui, partiellement",0,3
ES,0,3500,34995.00000000001,34995.00000000001,67,Bac+5,1,0,0,0,0,1,0,1,"Oui, partiellement",0,1
FR,1,30000,54999.5,54999.5,33,Bac+5,1,1,0,0,1,1,0,1,"Oui, tout à fait",5,1
DE,1,7500,84999.5,42499.75,67,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, partiellement",5,1
UK,0,75000,10000.0,3333.3333333333335,41,Bac,3,1,0,0,0,1,0,1,"Oui, partiellement",20,3
ES,1,30000,34995.00000000001,11665.000000000002,48,Bac,3,1,0,0,1,1,0,1,"Oui, partiellement",10,3
ES,1,75000,84999.5,42499.75,50,Bac+2/Bac+3,2,0,0,0,0,0,0,1,"Non, pas du tout",10,1
DE,1,7500,74999.5,24999.833333333332,46,Bac+5,3,1,0,1,1,1,0,1,"Oui, partiellement",5,1
UK,0,750000,34995.00000000001,17497.500000000004,48,Bac,2,1,0,0,0,1,0,1,"Oui, partiellement",5,0
DE,1,3500,10000.0,10000.0,46,Bac,1,1,0,0,0,1,0,1,"Oui, partiellement",0,2
DE,0,75000,54999.5,54999.5,37,Bac,1,0,0,1,0,1,0,1,"Oui, partiellement",5,1
DE,0,30000,84999.5,42499.75,55,Bac+5,2,0,0,0,0,1,0,0,"Oui, partiellement",0,1
DE,1,7500,34995.00000000001,17497.500000000004,28,Bac,2,1,0,1,1,1,0,1,"Oui, partiellement",5,3
DE,0,1000,44999.5,22499.75,68,Bac,2,0,0,0,0,1,0,1,"Non, pas du tout",5,2
UK,1,30000,44999.5,22499.75,50,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, partiellement",0,2
DE,1,750000,44999.5,44999.5,42,Bac,1,1,0,0,0,1,0,1,"Oui, partiellement",0,0
DE,1,30000,44999.5,22499.75,69,Bac+2/Bac+3,2,0,0,0,0,1,0,1,"Oui, partiellement",10,2
DE,0,30000,10000.0,10000.0,45,Collège,1,1,0,0,0,1,0,1,"Oui, partiellement",0,2
UK,0,7500,24999.5,6249.875,28,Bac,4,1,0,0,0,0,0,1,"Oui, partiellement",0,3
DE,1,30000,64999.5,21666.5,39,Bac+5,3,1,0,1,0,1,0,1,"Oui, partiellement",0,1
UK,0,1000000,84999.5,16999.9,51,Bac+5,5,0,0,0,1,1,0,1,"Oui, tout à fait",5,0
UK,0,1000000,34995.00000000001,8748.750000000002,42,Bac+5,4,0,0,0,1,1,1,1,"Oui, partiellement",10,0
UK,0,30000,64999.5,16249.875,25,Bac+2/Bac+3,4,1,0,0,1,1,1,1,"Oui, tout à fait",10,3
ES,0,30000,24999.5,12499.75,47,Bac+2/Bac+3,2,0,0,0,0,0,0,1,"Non, pas du tout",0,2
UK,0,1000,74999.5,18749.875,37,Bac+5,4,0,0,0,0,1,0,1,"Oui, partiellement",10,3
UK,1,30000,44999.5,14999.833333333334,25,Bac,3,1,0,1,1,1,1,1,"Non, pas du tout",0,3
UK,0,30000,24999.5,12499.75,51,Bac,2,0,0,0,0,0,0,1,"Oui, partiellement",5,2
UK,1,75000,64999.5,16249.875,48,Doctorat,4,1,0,0,1,1,0,1,"Oui, partiellement",5,3
UK,0,1000,34995.00000000001,17497.500000000004,31,Bac+2/Bac+3,2,0,0,1,0,1,0,1,"Oui, partiellement",0,3
ES,1,1000,10000.0,2500.0,47,Collège,4,0,0,0,0,0,0,1,"Oui, tout à fait",10,3
UK,0,1000000,34995.00000000001,17497.500000000004,36,Bac+2/Bac+3,2,1,0,0,0,1,0,1,"Oui, tout à fait",5,0
ES,1,75000,24999.5,4999.9,33,Bac,5,1,0,0,1,1,0,1,"Oui, partiellement",0,3
